year,day_of_week,is_weekend,ewm_7,sin_day_of_week,diff_1,month,is_covid_initial,is_covid_restriction,is_covid_recovery
2024,0,0,588.25,0.0,-447.0,9,0,0,0
2024,1,0,520.6875,0.7818314824680298,65.0,9,0,0,0
2024,2,0,470.265625,0.9749279121818236,1.0,9,0,0,0
2024,3,0,418.94921875,0.43388373911755823,-54.0,9,0,0,0
2024,4,0,623.7119140625,-0.433883739117558,973.0,9,0,0,0
2024,5,1,602.283935546875,-0.9749279121818236,-700.0,9,0,0,0
2024,6,1,558.7129516601562,-0.7818314824680299,-110.0,9,0,0,0
2024,0,0,491.5347137451172,0.0,-138.0,9,0,0,0
2024,1,0,418.1510353088379,0.7818314824680298,-92.0,9,0,0,0
2024,2,0,413.1132764816284,0.9749279121818236,200.0,9,0,0,0
2024,3,0,379.8349573612213,0.43388373911755823,-118.0,9,0,0,0
2024,4,0,305.126218020916,-0.433883739117558,-199.0,9,0,0,0
2024,5,1,261.344663515687,-0.9749279121818236,49.0,9,0,0,0
2024,6,1,240.50849763676524,-0.7818314824680299,48.0,9,0,0,0
2024,0,0,209.88137322757393,0.0,-60.0,9,0,0,0
2024,1,0,201.91102992068045,0.7818314824680298,60.0,9,0,0,0
2024,2,0,200.93327244051034,0.9749279121818236,20.0,9,0,0,0
2024,3,0,167.69995433038275,0.43388373911755823,-130.0,9,0,0,0
2024,4,0,132.77496574778706,-0.433883739117558,-40.0,9,0,0,0
2024,5,1,111.8312243108403,-0.9749279121818236,21.0,9,0,0,0
2024,6,1,96.87341823313022,-0.7818314824680299,3.0,9,0,0,0
2024,0,0,142.65506367484767,0.0,228.0,9,0,0,0
2024,1,0,131.49129775613574,0.7818314824680298,-182.0,9,0,0,0
2024,2,0,185.6184733171018,0.9749279121818236,250.0,9,0,0,0
2024,3,0,155.46385498782635,0.43388373911755823,-283.0,9,0,0,0
2024,4,0,480.5978912408698,-0.433883739117558,1391.0,9,0,0,0
2024,5,1,373.94841843065234,-0.9749279121818236,-1402.0,9,0,0,0
2024,6,1,308.96131382298927,-0.7818314824680299,60.0,9,0,0,0
2024,0,0,251.22098536724195,0.0,-36.0,9,0,0,0
2024,1,0,262.91573902543144,0.7818314824680298,220.0,10,0,0,0
2024,2,0,271.6868042690736,0.9749279121818236,0.0,10,0,0,0
2024,3,0,276.01510320180523,0.43388373911755823,-9.0,10,0,0,0
2024,4,0,218.26132740135392,-0.433883739117558,-244.0,10,0,0,0
2024,5,1,258.19599555101547,-0.9749279121818236,333.0,10,0,0,0
2024,6,1,389.6469966632616,-0.7818314824680299,406.0,10,0,0,0
2024,0,0,326.98524749744615,0.0,-645.0,10,0,0,0
2024,1,0,291.9889356230846,0.7818314824680298,48.0,10,0,0,0
2024,2,0,266.24170171731345,0.9749279121818236,2.0,10,0,0,0
2024,3,0,249.1812762879851,0.43388373911755823,9.0,10,0,0,0
2024,4,0,266.6359572159888,-0.433883739117558,121.0,10,0,0,0
2024,5,1,286.4769679119916,-0.9749279121818236,27.0,10,0,0,0
2024,6,1,237.10772593399372,-0.7818314824680299,-257.0,10,0,0,0
2024,0,0,248.0807944504953,0.0,192.0,10,0,0,0
2024,1,0,290.06059583787146,0.7818314824680298,135.0,10,0,0,0
2024,2,0,312.0454468784036,0.9749279121818236,-38.0,10,0,0,0
2024,3,0,267.78408515880267,0.43388373911755823,-243.0,10,0,0,0
2024,4,0,223.088063869102,-0.433883739117558,-46.0,10,0,0,0
2024,5,1,189.3160479018265,-0.9749279121818236,-1.0,10,0,0,0
2024,6,1,239.23703592636986,-0.7818314824680299,301.0,10,0,0,0
2024,0,0,351.6777769447774,0.0,300.0,10,0,0,0
2024,1,0,483.50833270858305,0.7818314824680298,190.0,10,0,0,0
2024,2,0,509.8812495314373,0.9749279121818236,-290.0,10,0,0,0
2024,3,0,663.1609371485779,0.43388373911755823,534.0,10,0,0,0
2024,4,0,514.3707028614334,-0.433883739117558,-1055.0,10,0,0,0
2024,5,1,555.278027146075,-0.9749279121818236,610.0,10,0,0,0
2024,6,1,502.70852035955625,-0.7818314824680299,-333.0,10,0,0,0
2024,0,0,716.0313902696672,0.0,1011.0,10,0,0,0
2024,1,0,584.2735427022504,0.7818314824680298,-1167.0,10,0,0,0
2024,2,0,774.4551570266879,0.9749279121818236,1156.0,10,0,0,0
2024,3,0,669.841367770016,0.43388373911755823,-989.0,10,0,0,0
2024,4,0,698.631025827512,-0.433883739117558,429.0,11,0,0,0
2024,5,1,603.473269370634,-0.9749279121818236,-467.0,11,0,0,0
2024,6,1,481.10495202797546,-0.7818314824680299,-204.0,11,0,0,0
2024,0,0,483.0787140209816,0.0,375.0,11,0,0,0
2024,1,0,476.8090355157362,0.7818314824680298,-31.0,11,0,0,0
2024,2,0,502.6067766368021,0.9749279121818236,122.0,11,0,0,0
2024,3,0,491.7050824776016,0.43388373911755823,-121.0,11,0,0,0
2024,4,0,391.0288118582012,-0.433883739117558,-370.0,11,0,0,0
2024,5,1,317.7716088936509,-0.9749279121818236,9.0,11,0,0,0
2024,6,1,374.8287066702382,-0.7818314824680299,448.0,11,0,0,0
2024,0,0,400.62153000267864,0.0,-68.0,11,0,0,0
2024,1,0,391.716147502009,0.7818314824680298,-113.0,11,0,0,0
2024,2,0,340.7871106265068,0.9749279121818236,-177.0,11,0,0,0
2024,3,0,302.0903329698801,0.43388373911755823,-2.0,11,0,0,0
2024,4,0,271.56774972741005,-0.433883739117558,-6.0,11,0,0,0
2024,5,1,345.67581229555753,-0.9749279121818236,388.0,11,0,0,0
2024,6,1,399.25685922166815,-0.7818314824680299,-8.0,11,0,0,0
2024,0,0,436.94264441625114,0.0,-10.0,11,0,0,0
2024,1,0,642.2069833121884,0.7818314824680298,708.0,11,0,0,0
2024,2,0,576.6552374841413,0.9749279121818236,-878.0,11,0,0,0
2024,3,0,735.4914281131059,0.43388373911755823,832.0,11,0,0,0
2024,4,0,568.6185710848295,-0.433883739117558,-1144.0,11,0,0,0
2024,5,1,561.4639283136221,-0.9749279121818236,472.0,11,0,0,0
2024,6,1,483.59794623521657,-0.7818314824680299,-290.0,11,0,0,0
2024,0,0,580.1984596764124,0.0,620.0,11,0,0,0
2024,1,0,715.1488447573093,0.7818314824680298,250.0,11,0,0,0
2024,2,0,598.861633567982,0.9749279121818236,-870.0,11,0,0,0
2024,3,0,578.6462251759865,0.43388373911755823,268.0,11,0,0,0
2024,4,0,450.9846688819899,-0.433883739117558,-450.0,11,0,0,0
2024,5,1,377.2385016614924,-0.9749279121818236,88.0,11,0,0,0
